Country,Region,Internet Penetration Index,Mobile Connectivity Index,Trade to GDP Ratio Index,Logistics Performance Index,Modern Renewables Share Index,CO2 Intensity Index,Business Ready Index,Political Stability Index,Financial Depth Index,Financial Reserves Index
Afghanistan,Other,0.105,0.252,0.134,0,0.128,0.005,0.361,0.037,N/A,N/A
Albania,Other,0.754,0.696,0.176,0.25,0.515,0.006,0.714,0.646,0.147,0.373
Algeria,Africa,0.662,0.529,0.097,0.25,0.002,0.002,0.428,0.441,0.084,0.627
Angola,Africa,0.341,0.404,0.154,0.083,0.117,0.005,0.319,0.485,0.04,0.451
Argentina,LAC,0.85,0.691,0.058,0.375,0.119,0.004,0.584,0.597,0.066,0.524
Armenia,Other,0.739,0.713,0.223,0.25,0.114,0.004,0.816,0.437,0.281,0.316
Australia,OECD,0.957,0.99,0.096,0.75,0.127,0.002,0.916,0.817,0.562,0.596
Austria,OECD,0.908,0.937,0.273,0.875,0.424,0.005,0.879,0.792,0.363,0.542
Azerbaijan,Other,0.847,0.707,0.191,N/A,0.017,0.003,0.849,0.426,0.114,0.44
Bahrain,Other,1,0.847,0.373,0.667,0,0.001,0.838,0.509,N/A,0.346
Bangladesh,Other,0.333,0.518,0.056,0.292,0.004,0.006,0.374,0.394,0.155,0.492
Belarus,Other,0.862,0.705,0.315,0.333,0.099,0.002,0.813,0.435,N/A,0.404
Belgium,OECD,0.922,0.936,0.433,0.875,0.137,0.005,0.823,0.736,0.298,0.558
Belize,LAC,0.651,0.627,0.24,N/A,0.317,0.01,0.531,0.723,0.163,0.116
Benin,Africa,0.207,0.344,0.113,0.417,0.097,0.004,0.485,0.528,0.082,N/A
Bhutan,Other,0.809,0.59,0.182,0.25,0.134,N/A,0.689,0.828,0.23,0.18
Bolivia,LAC,N/A,0.599,0.127,0.208,N/A,0.003,0.475,0.544,0.284,0.254
Botswana,Africa,0.723,0.596,0.19,0.5,0.001,0.003,0.692,0.849,0.143,0.31
Brazil,LAC,0.786,0.842,0.067,0.542,0.551,0.004,0.585,0.52,0.328,0.765
Brunei,ASEAN,0.973,0.714,0.32,N/A,0,0.002,0.75,0.894,0.162,0.334
Bulgaria,Other,0.726,0.848,0.302,0.542,0.246,0.003,0.778,0.694,0.206,0.563
Burkina Faso,Africa,0.058,0.25,0.142,0.167,0.016,0.005,0.47,0.218,0.117,N/A
Cambodia,ASEAN,0.534,0.566,0.328,0.208,0.281,0.003,0.506,0.592,0.54,0.497
Cameroon,Africa,0.359,0.464,0.078,0.083,0.234,0.007,0.391,0.294,N/A,N/A
Canada,OECD,0.928,0.939,0.148,0.875,0.282,0.002,0.892,0.816,N/A,0.664
Chile,LAC,0.895,0.842,0.144,0.458,0.316,0.004,0.787,0.641,0.448,0.565
China,CHINA,0.699,0.898,0.073,0.75,0.132,0.001,0.867,0.504,0.841,1
Colombia,LAC,0.694,0.729,0.082,0.417,0.284,0.005,0.75,0.445,0.171,0.598
Comoros,Africa,0.217,0.251,0.089,N/A,0.039,0.005,0.418,0.559,N/A,0.073
Costa Rica,LAC,0.812,0.756,0.162,0.417,0.402,0.008,0.737,0.814,0.225,0.451
Croatia,Other,0.793,0.887,0.255,0.583,0.389,0.005,0.802,0.755,0.204,0.306
Cyprus,Other,0.89,0.886,0.444,0.542,0.164,0.004,0.799,0.701,0.254,0.259
Czech Republic,OECD,0.818,0.901,0.337,0.583,0.2,0.003,0.843,0.819,0.209,0.684
Denmark,OECD,0.98,0.992,0.287,0.917,0.468,0.009,0.978,0.815,0.617,0.654
Djibouti,Africa,0.586,N/A,0.767,0.333,0.002,0.005,0.606,0.499,0.102,0.08
Dominican Republic,LAC,N/A,0.695,0.11,0.292,0.089,0.004,0.599,0.667,0.138,0.446
Ecuador,LAC,0.658,0.666,0.116,N/A,0.211,0.003,0.564,0.544,0.243,0.379
Egypt,Africa,0.668,0.674,0.072,0.5,0.039,0.004,0.6,0.385,0.119,0.566
El Salvador,LAC,0.568,0.6,0.185,0.333,0.193,0.005,0.678,0.583,0.271,0.317
Estonia,Other,0.904,0.931,0.383,0.708,0.434,0.003,0.907,0.774,0.264,0.259
Ethiopia,Africa,0.095,0.311,0.042,N/A,0.036,0.012,0.419,0.165,N/A,0.319
Fiji,Other,0.707,0.594,0.227,0.167,0.341,0.003,0.621,0.776,0.51,0.233
